,Longitude,Latitude,Month,Season,DayofWeek,Workday,Hour,PRECIPITATION,MIN_TEMPERATURE,Target
1489,-114.2528057,51.14875017,2,Winter,1,Weekday,16,0,-4.7,1
398,-114.04188318890921,51.16131413806518,2,Winter,1,Weekday,13,0,10.4,0
256,-114.08878307572256,51.044045414269256,11,Winter,0,Weekday,8,0,-6.7,1
961,-113.9578803,51.07622639,11,Winter,4,Weekday,12,0,2.0,1
1484,-114.1063576,50.96501086,3,Winter,0,Weekday,8,1,-16.4,1
1165,-114.10555308297444,50.96766306827652,6,Summer,2,Weekday,17,1,-4.5,0
669,-114.00501034043027,51.09879112634912,10,Summer,5,Weekday,17,0,10.0,0
387,-114.00114638176576,51.095974206252556,8,Summer,4,Weekday,19,0,8.6,0
1189,-114.06929986747133,51.05046635082085,11,Summer,6,Weekend,17,1,12.1,0
40,-114.08042069177412,51.163650149506346,9,Summer,2,Weekday,10,0,10.4,0
357,-114.0882371181172,50.9248104755895,7,Winter,2,Weekday,17,0,-4.4,0
814,-114.1202245841329,51.1521532880343,8,Winter,2,Weekday,15,1,3.8,0
866,-114.07672339882565,51.00604702203701,10,Winter,0,Weekday,15,0,-1.4,0
949,-114.02050176924237,50.91207823529555,1,Winter,1,Weekday,15,0,1.5,0
911,-113.9589009,51.09145247,1,Winter,0,Weekday,6,0,-9.9,1
1222,-114.0591922,50.96863259,6,Summer,1,Weekday,16,0,8.6,1
498,-114.06254168785986,50.94763345254407,6,Summer,6,Weekend,20,0,-3.9,0
691,-114.00640786472034,50.89486290211554,5,Summer,6,Weekend,19,1,2.0,0
1008,-114.05478029142425,50.96566164191224,11,Summer,5,Weekday,23,0,14.7,0
20,-113.95413909289533,50.89950223817366,10,Summer,6,Weekend,21,0,-9.9,0
1283,-114.1701295,51.03761233,3,Winter,1,Weekday,8,0,-23.3,1
203,-113.95827333723406,50.95288380217734,12,Winter,3,Weekday,18,0,-10.9,0
1290,-114.0416286,51.04936407,2,Winter,3,Weekday,16,0,-18.1,1
1003,-114.0702464,51.04764484,9,Summer,5,Weekday,16,0,2.1,1
830,-113.947733562731,51.10251119911168,10,Summer,6,Weekend,15,0,-1.5,0
837,-113.94187806661407,51.07613545260541,9,Winter,2,Weekday,14,0,-2.2,0
1047,-114.0717417,50.96436625,3,Winter,1,Weekday,22,0,-21.2,1
1330,-114.0578415,51.04919005,11,Winter,4,Weekday,18,0,-0.9,1
824,-113.9371153,51.12514924,8,Summer,3,Weekday,22,0,11.0,1
903,-114.0887064,51.04533065,1,Winter,1,Weekday,8,0,-8.5,1
685,-114.09369617767577,50.91498405158486,12,Winter,2,Weekday,23,0,-2.7,0
569,-113.9817424,51.11323775,9,Summer,5,Weekday,0,0,7.3,1
1379,-114.0701292,50.89811078,9,Summer,0,Weekday,21,0,5.7,1
400,-114.16094933805824,51.0729358182489,12,Winter,1,Weekday,20,0,-4.1,0
176,-114.0620220341532,50.89741397509622,2,Winter,6,Weekend,15,1,-4.0,1
37,-113.92987986557132,51.12161922340101,10,Summer,0,Weekday,16,0,2.0,1
106,-114.06074165482052,51.04642980858965,8,Summer,0,Weekday,15,0,11.5,1
1102,-114.00111784710306,51.05861579101728,2,Winter,4,Weekday,18,1,-1.1,0
1409,-114.0090522,51.06892654,7,Summer,0,Weekday,9,1,5.4,1
1491,-114.11980300332388,50.906141721930304,9,Summer,3,Weekday,12,1,-5.3,0
883,-114.11115826362597,50.973968999872234,8,Summer,6,Weekend,2,0,13.0,0
953,-113.9262063488846,50.91250075334305,11,Winter,6,Weekend,7,1,7.6,0
257,-114.05001953587993,51.05608041296366,11,Winter,5,Weekday,23,0,-13.6,1
969,-113.95175438838562,51.166839175529184,12,Summer,0,Weekday,17,0,-7.3,0
536,-114.1638941,51.07227771,11,Winter,1,Weekday,8,0,-8.4,1
1214,-114.0687682,50.96863427,7,Summer,6,Weekend,11,0,6.3,1
675,-114.0627326,51.04932875,3,Winter,0,Weekday,15,0,-2.1,1
107,-114.05784152244031,51.049190047884814,8,Summer,2,Weekday,22,0,11.9,1
879,-114.0134391,51.06890751,3,Winter,1,Weekday,17,1,-9.2,1
1099,-114.02587916817514,50.95528016845772,8,Summer,5,Weekday,1,0,13.3,0
264,-114.14644497520132,50.90659222839094,5,Winter,6,Weekend,15,1,-9.7,0
599,-114.0423932,50.9839673,8,Summer,4,Weekday,15,1,9.5,1
646,-114.0523943,51.05564067,6,Summer,1,Weekday,20,0,13.9,1
1380,-113.9633108,51.0671044,9,Summer,0,Weekday,11,0,5.7,1
1112,-114.0608654,51.04135756,12,Winter,3,Weekday,19,1,-19.5,1
1190,-113.97406484773576,51.0562323256702,1,Winter,2,Weekday,10,0,-3.3,0
83,-114.1171916332208,50.9063758839044,9,Summer,3,Weekday,7,0,5.0,1
911,-113.94110847094203,50.98243740206972,7,Summer,1,Weekday,9,0,10.4,0
1232,-114.04041509723359,50.90552739194986,12,Summer,1,Weekday,12,1,-2.5,0
235,-114.05011157002511,51.122342047508425,5,Winter,2,Weekday,18,0,-3.8,0
497,-113.9583848,51.02813012,12,Winter,1,Weekday,18,0,-18.5,1
834,-114.0445907,51.15793134,7,Summer,5,Weekday,17,0,9.4,1
388,-114.0624318,51.0896317,6,Summer,3,Weekday,16,0,7.9,1
1117,-113.97194654687014,50.947014992592905,10,Winter,3,Weekday,10,0,11.4,0
791,-113.97759875754697,51.06873720164714,6,Summer,5,Weekday,21,0,2.0,0
307,-113.94443450288014,51.08053107304038,9,Summer,6,Weekday,16,0,10.9,0
1454,-114.07646166330869,51.067638315505775,10,Summer,6,Weekend,14,1,-0.4,0
416,-113.93667627625186,50.985087008002445,1,Winter,5,Weekday,13,0,-6.9,0
882,-114.14273270583293,51.01041193811257,10,Winter,4,Weekday,17,0,2.3,0
1299,-114.0358725,51.03975802,1,Winter,6,Weekend,1,1,-20.4,1
882,-114.0609338,51.04041531,3,Winter,6,Weekend,21,0,-20.0,1
1370,-114.18767042107773,51.1830636871798,2,Summer,3,Weekday,18,0,13.1,0
333,-114.0916693973521,50.97957005647015,9,Summer,5,Weekday,17,0,9.9,1
126,-114.10200151026169,51.04743265556278,7,Summer,4,Weekday,8,0,12.0,1
493,-114.0580442,51.04634587,12,Winter,6,Weekend,14,1,-31.7,1
728,-113.9894649,51.03608894,12,Winter,4,Weekday,11,0,-11.8,1
1021,-113.9587165,50.91830077,5,Winter,3,Weekday,15,0,4.4,1
1154,-114.05825740478734,51.167851199669926,9,Summer,6,Weekday,17,0,16.5,0
895,-114.059255,50.91370017,2,Winter,4,Weekday,14,1,-4.0,1
1119,-113.985984,51.05201074,11,Winter,6,Weekend,10,1,-11.4,1
945,-114.0607287,51.04325536,12,Winter,1,Weekday,10,0,-4.7,1
281,-113.96538713014341,51.17181986111143,9,Summer,2,Weekday,16,0,16.4,0
