region_id,0,1,2,3,4
8a12ccc24977fff,-14.670254,-82.94929,-88.95328,-3.6098897,-71.88548
8a12cc99692ffff,-95.74349,19.82661,-32.213997,-56.4965,-104.42318
8a12ccd5dcd7fff,-119.72832,59.739235,-81.972824,-40.28531,0.5355387
8a12ccd622dffff,-161.33987,-1.694294,-43.359077,51.355175,19.922132
8a12ea6db90ffff,-103.05911,-17.141006,-170.9129,27.355421,-17.441185
8a12ccd76d9ffff,-26.581575,-90.29743,-93.353806,-50.28638,11.498616
8a12cc99025ffff,-52.589706,-11.330164,-18.400192,-108.342636,-98.73636
8a12ccd524e7fff,-202.59811,-18.757616,30.206018,57.0806,4.672615
8a12ea6f4c9ffff,-78.023544,-34.449436,-54.54032,-106.43954,-99.717995
8a12ea6dd2b7fff,-81.53923,63.7961,-94.67731,-81.71066,7.52155
8a12ccd6e627fff,-63.816055,-16.987213,-60.672485,-84.21742,-84.872604
8a12ea6e376ffff,-89.90966,-5.7799635,-104.749084,-56.617737,-72.44151
8a12ea6e9687fff,-88.00385,-8.356646,-29.832203,-80.64945,-102.24231
8a12ccd20937fff,-150.08524,-75.801125,-20.291111,-48.835285,9.054593
8a12ea6d4b0ffff,-74.173676,-101.832436,-58.420692,-41.213097,-8.937394
8a12ccd41107fff,-112.81958,107.02165,-88.051025,-38.849525,-30.884626
8a12ccd436f7fff,-73.07386,-8.686001,-80.801605,-77.35219,-77.851875
8a12ccd5c897fff,-141.5695,-22.292162,-89.07508,-5.239023,4.1850805
8a12cc8b6527fff,-75.43867,-35.237488,-56.769337,-95.34644,-91.74914
8a12ea6ca20ffff,-150.25623,-85.539474,-32.42478,-46.981594,16.66786
8a12ea6de397fff,-145.02922,-52.081192,-21.672096,-68.12002,-8.561764
8a12cc8b2507fff,-81.88922,-32.703102,-72.74678,-81.24347,-88.257996
8a12ccc0c117fff,-94.651306,3.1734009,-62.05738,-57.737114,-81.008446
8a12ccd744d7fff,-44.787594,-0.2356739,-89.31905,-15.130968,145.99768
8a12ea6eb237fff,-133.00575,-47.563187,-32.92658,-51.148552,-65.575775
8a12ccc73c5ffff,-92.03347,-1.1552658,-82.15218,-81.02883,50.526524
8a12ea6db667fff,-126.49603,-85.72497,11.117897,-87.747284,8.724555
8a12ccd7149ffff,-121.91064,141.55655,-119.485916,10.836042,-13.633674
8a12ea6d494ffff,-116.303894,-95.86795,-43.47873,-49.412212,-26.213573
8a12ccd3099ffff,-80.404724,-30.719954,-53.382553,-104.062645,-93.76519
8a12ccd50ab7fff,-160.53674,66.39388,-27.861555,25.12775,53.2463
8a12ccd5bd37fff,-134.19678,-72.57044,-31.489017,-37.48336,-21.751814
8a12ccd0a857fff,-97.004875,-18.681751,-50.802402,-78.54334,-18.573734
8a12ccc2e51ffff,-39.843704,-73.57822,-82.43319,13.293559,-84.58297
8a12ea6c2767fff,-80.15454,-34.22693,-124.83468,-24.119558,-36.86564
8a12cc993687fff,-68.327774,-4.3707323,27.68776,-106.59338,-61.414547
8a12ccd5ca87fff,-132.8418,-14.833612,-52.707363,-29.527332,-2.9343348
8a12ea6d6aeffff,-129.9775,-87.80395,-31.580423,-37.86248,-32.41847
8a12ccd6ed87fff,-78.19758,-28.146597,-68.541824,-90.02767,-82.86992
8a12cc893ce7fff,-78.74947,-38.508305,-56.37935,-101.56141,-98.02621
8a12ccc21937fff,-159.32321,-88.68444,3.1862087,75.04809,-16.230438
8a12ccd0e46ffff,-131.33273,-84.47011,-28.213795,-54.577137,-25.423084
8a12ccd2cd2ffff,-87.17905,-81.422,0.22011042,-22.696268,14.7367935
8a12ccd62d6ffff,-123.11091,-37.384487,-91.37981,23.60672,-3.6628046
8a12ea688d97fff,-43.78144,32.16459,-67.06121,-127.12317,-67.827515
8a12ccc2e307fff,-39.221527,-132.86597,-89.66053,19.752117,-53.509174
8a12ccd5d2cffff,-92.67691,21.330956,-35.499016,-41.15262,-29.309471
8a12ea69b62ffff,-147.28972,-70.21554,-12.460751,-33.750584,-4.97258
8a12ccd536d7fff,-185.86989,2.0069869,-22.962675,6.8518248,6.046912
8a12ccd62ae7fff,-198.69936,0.4703133,-67.268265,50.53057,5.308572
8a12ea6dc457fff,-84.966934,-53.096405,-77.850105,-47.523632,-4.0463133
8a12ea6ea88ffff,-145.73044,-106.922676,-50.570267,-42.788513,-17.74968
8a12ccd3548ffff,-82.68414,-80.596985,-77.28434,-58.974815,-39.935715
8a12ea6d4b17fff,-94.12228,-111.0745,-30.251179,-10.829506,-19.468918
8a12ccd632c7fff,-117.579926,13.993185,-105.7852,22.129108,9.9528475
8a12ccc056affff,-82.67261,-31.852566,-51.314556,-102.425095,-100.54636
8a12ccd2a617fff,-141.93422,-54.969387,-18.036589,-75.277306,-10.040863
8a12ccc21577fff,-157.64714,-31.41181,-49.30528,15.473538,-35.116447
8a12ea6ee86ffff,-128.3637,-94.17538,-35.198,-53.69503,15.085838
8a12ccd2224ffff,-142.28992,-43.900608,-16.051647,-70.170815,23.149479
8a12ccd1cadffff,-133.16364,-11.621247,-21.170818,-74.08899,-86.461334
8a12ccd4ec37fff,-113.54916,76.173256,-101.1967,-30.429445,-54.34767
8a12ea6d86b7fff,-82.21925,-66.28828,-79.18456,-48.467148,-26.76998
8a12ccd2180ffff,-124.65457,-98.80694,-28.517698,-9.240313,16.396374
8a12ccc2410ffff,-37.22292,-67.71076,-89.29476,-6.1261363,-81.4004
8a12ccc2c4a7fff,-187.56396,-10.760622,-25.737087,36.338215,-22.308298
