region_id,0,1,2
8a12ea6eba8ffff,37.176056,23.041111,26.103638
8a12ea6f6d9ffff,36.23063,36.431835,13.224105
8a12ea681367fff,37.06761,28.508932,6.8403754
8a12ccc2a94ffff,33.175156,-2.635346,49.36117
8a12ccd4c00ffff,35.35453,34.581146,22.032421
8a12ccc6c8d7fff,48.74513,47.33904,12.099202
8a12ea6d3997fff,59.168724,14.34659,6.100596
8a12ccc71cf7fff,38.667557,14.712609,30.63183
8a12ccd49627fff,55.017155,18.28571,11.284428
8a12ccc73b37fff,33.97617,-1.9065917,38.72966
8a12ccd4e36ffff,21.141111,56.50385,21.519602
8a12ccd5439ffff,4.1348433,7.8478565,48.697834
8a12ccd54d1ffff,41.129158,26.59019,30.395348
8a12ccd62baffff,-8.754497,0.19207114,57.540016
8a12ccd6a647fff,35.809692,48.38066,2.8987064
8a12ea6c29affff,44.241535,32.297688,33.664074
8a12ea6ead6ffff,30.32235,11.73572,30.916405
8a12ea6dd56ffff,9.921847,53.39781,-5.998734
8a12ccd1d14ffff,28.672314,18.431908,28.36281
8a12ccc2ed57fff,34.91578,1.0670408,67.578835
8a12ccd6e677fff,41.425983,42.71114,9.11923
8a12ea6d9017fff,-1.2138854,32.966015,30.078796
8a12ccd35287fff,26.009182,42.475655,23.072527
8a12ccd74cd7fff,-2.9408188,56.961685,88.54259
8a12ea6da197fff,19.717985,3.781933,38.728416
8a12ccd0e167fff,35.464436,2.0117846,34.067936
8a12ccd3101ffff,22.98084,26.27002,23.919285
8a12ccd5a257fff,18.152584,29.459589,65.01718
8a12ea699777fff,44.73539,8.06997,35.403946
8a12ccc74147fff,10.533246,10.50058,70.73323
8a12ccd31c5ffff,29.725824,5.4843245,34.193108
8a12ccd20597fff,26.124615,-0.474217,40.647022
8a12ccd414cffff,11.06753,57.297386,27.659922
8a12ccd4e61ffff,5.746606,44.553043,31.433985
8a12ea6c038ffff,-13.17017,42.52828,3.4605513
8a12ccc7420ffff,40.75311,21.750332,20.687952
8a12ccd2d2cffff,34.76448,7.8249598,33.956535
8a12ccd64b2ffff,25.865658,0.93435264,39.652275
8a12cc89650ffff,45.43777,33.62554,20.168926
8a12ccd2ac9ffff,41.11067,18.351637,33.487377
8a12ccd6cc67fff,39.756546,30.151028,6.7417097
8a12ccd7294ffff,0.11439139,4.141245,54.443268
8a12ccd03677fff,41.33849,8.260901,39.299595
8a12ea6c0537fff,41.222694,37.192436,31.199509
8a12ccd4c007fff,43.738747,36.59119,21.099346
8a12ccd1c757fff,42.269077,21.455864,30.922556
8a12ccd5b2d7fff,33.196754,25.666512,61.83955
8a12ea6f6707fff,39.381145,47.14753,-3.153375
8a12ccd2b427fff,30.916626,15.011029,33.915257
8a12ccc2bd2ffff,34.867775,5.8597364,38.284832
8a12ccd4036ffff,8.799558,62.06339,26.793108
8a12ea6c01b7fff,10.913824,48.05911,26.704147
8a12ccc054b7fff,47.627415,48.282257,12.504463
8a12ea6d188ffff,24.327583,-14.821497,51.81174
8a12ccd00a27fff,39.007427,2.0718563,35.224133
8a12ea6f058ffff,31.476345,-20.937798,54.381546
8a12ea68c507fff,39.442184,28.263908,3.6898425
8a12ccd0425ffff,50.18731,8.001577,34.003567
8a12ccd33cc7fff,43.19995,38.751797,15.027964
8a12ccd6d94ffff,43.072876,46.365005,7.761926
8a12ccd41587fff,5.856304,50.070324,33.742626
8a12ccd7070ffff,-4.226355,24.005571,57.59425
8a12ccc0985ffff,41.8114,21.245333,33.885166
8a12ccd30a8ffff,46.811222,9.639145,36.104046
8a12ea68e4d7fff,39.94652,33.566998,1.9180441
8a12ccc00777fff,41.876812,41.731987,13.985871
8a12ccd1d54ffff,52.191597,13.929815,42.1941
8a12ccd4b66ffff,32.804207,20.64316,27.629545
8a12ea6d14dffff,54.42444,13.741239,12.760173
8a12ccd0cba7fff,-19.946367,-4.4778075,31.804142
8a12ccd718a7fff,6.8821664,42.51319,25.527246
8a12ccd62807fff,-10.786703,-0.8587216,54.07112
8a12ea6f186ffff,43.804394,34.58766,14.448025
8a12ccc75c47fff,43.847206,17.870722,27.509794
8a12ccd56317fff,3.348956,46.948997,77.77693
8a12ccc73b77fff,34.82557,-3.600926,40.54372
8a12ea69d16ffff,35.603962,51.430897,11.519617
8a12ccd5e02ffff,28.978527,-10.978469,61.061523
8a12ccc6cac7fff,48.225468,46.647926,11.514368
8a12ccd51427fff,22.06522,8.406369,44.504787
8a12ea61b697fff,47.09934,44.862793,12.297106
8a12ccd2dc27fff,18.045227,16.424953,35.67379
8a12cc8907affff,48.225468,46.647926,11.514368
8a12ccc64227fff,23.884417,4.223359,38.160606
8a12ea6ec08ffff,32.16209,23.81589,8.439716
8a12ccd710a7fff,7.254001,60.83877,27.869987
8a12ccd6b737fff,32.88182,39.747894,16.84642
8a12ccc2d527fff,17.123444,1.762025,54.47086
8a12ccd58317fff,58.777187,19.18378,22.018627
8a12ea68c647fff,33.42483,15.987359,24.130672
8a12ccd65c6ffff,29.047073,5.3556743,38.491066
8a12ccc7091ffff,32.885715,25.629232,25.954353
8a12ea6c3547fff,13.246292,54.79528,-3.6236377
8a12ccd6c1b7fff,41.827732,40.73599,6.563387
8a12ccc2b8f7fff,32.117916,-5.672547,30.533926
8a12ccc2ab9ffff,22.329315,8.040729,38.33122
8a12ea68e337fff,28.006632,57.63251,9.657312
8a12ccd22487fff,42.061085,30.326994,28.454998
8a12ea6d5557fff,46.95159,-23.330473,60.110104
8a12ccc6004ffff,38.257477,21.948786,29.193592
8a12ccd03baffff,41.38316,4.190427,32.049564
8a12cc990007fff,37.904324,37.43358,5.849487
8a12ccd5dd9ffff,-21.450514,32.4355,33.381714
8a12ccd6c727fff,36.842556,34.41254,1.8186204
8a12ea6f5bb7fff,45.581123,47.509064,8.263653
8a12ccd7588ffff,8.9788065,18.327427,37.918713
8a12ea6d3c6ffff,59.737846,12.7153845,5.711587
